Date,AAPL,BA,COST,GS,SLB,V,WMT
2023-07-26,193.2488250732422,232.8000030517578,549.0513305664062,345.0977783203125,56.103267669677734,234.80642700195312,52.35134506225586
2023-07-27,191.97705078125,233.75,544.8425903320312,342.15411376953125,55.47092819213867,232.17214965820312,52.1612548828125
2023-07-28,194.5702667236328,238.69000244140625,546.28759765625,340.91876220703125,55.5974006652832,233.469482421875,52.40705871582031
2023-07-31,195.18629455566406,238.85000610351562,543.7177124023438,343.46673583984375,56.75506591796875,235.43031311035156,52.39067077636719
2023-08-01,194.35169982910156,238.00999450683594,538.6749267578125,345.2522888183594,56.044898986816406,237.4604949951172,52.14487838745117
2023-08-02,191.3411865234375,231.3800048828125,535.6493530273438,338.8630065917969,55.9087028503418,235.261962890625,52.18092727661133
2023-08-03,189.9402618408203,231.36000061035156,540.8278198242188,340.8511962890625,56.404850006103516,236.4503631591797,52.194034576416016
2023-08-04,180.81930541992188,231.36000061035156,535.3486328125,340.90911865234375,56.103267669677734,236.6781463623047,51.89252471923828
2023-08-07,177.69952392578125,238.25,541.5260009765625,343.1675720214844,56.39512252807617,239.1737518310547,52.59713363647461
2023-08-08,178.6433868408203,238.0399932861328,539.3053588867188,336.1219787597656,56.920448303222656,236.97523498535156,52.64957809448242
2023-08-09,177.04376220703125,237.86000061035156,542.777099609375,330.7461242675781,57.893280029296875,237.44068908691406,52.73478698730469
2023-08-10,176.8251495361328,238.25999450683594,544.512939453125,328.535888671875,57.31930923461914,238.2840576171875,52.708473205566406
2023-08-11,176.88485717773438,235.72000122070312,545.9385375976562,328.85443115234375,58.02947998046875,238.1649932861328,53.017635345458984
2023-08-14,178.54637145996094,236.7100067138672,544.4935302734375,325.9686279296875,57.903011322021484,241.00265502929688,52.622962951660156
2023-08-15,176.5465850830078,232.25999450683594,541.6229858398438,320.6313781738281,56.74534225463867,237.95663452148438,52.353271484375
2023-08-16,175.67108154296875,229.9499969482422,542.146728515625,317.6393737792969,56.20055389404297,237.42083740234375,52.379581451416016
2023-08-17,173.11416625976562,224.5399932861328,530.5677490234375,316.1048278808594,56.317291259765625,235.51583862304688,51.20542907714844
2023-08-18,173.60166931152344,226.64999389648438,528.46337890625,313.6051025390625,56.453487396240234,236.30960083007812,51.94215393066406
2023-08-21,174.94479370117188,227.22000122070312,526.78564453125,310.8351135253906,55.8795166015625,237.58950805664062,51.80401611328125
2023-08-22,176.3277130126953,230.07000732421875,522.0919799804688,307.6791076660156,54.87750244140625,238.6908416748047,51.63956832885742
2023-08-23,180.19790649414062,228.5800018310547,524.5067138671875,311.095703125,56.317291259765625,240.4073486328125,51.99806594848633
2023-08-24,175.4820556640625,217.30999755859375,516.6076049804688,308.80828857421875,55.24717712402344,237.5994415283203,51.600101470947266
2023-08-25,177.70068359375,223.41000366210938,518.8423461914062,308.99169921875,54.92613983154297,240.6752471923828,51.90597915649414
2023-08-28,179.27264404296875,227.05999755859375,520.9603881835938,314.6088562011719,56.2589225769043,241.9253692626953,52.20198059082031
2023-08-29,183.1826171875,227.25,527.3535766601562,320.9595031738281,56.63832473754883,243.42359924316406,52.639408111572266
2023-08-30,186.69467163085938,228.85000610351562,526.8579711914062,319.772216796875,57.397132873535156,244.30662536621094,53.017635345458984
2023-08-31,186.9135284423828,224.02999877929688,533.6786499023438,318.9255065917969,57.35822296142578,243.76092529296875,53.48137283325195
2023-09-01,188.49545288085938,223.39999389648438,528.7914428710938,318.62384033203125,58.48670959472656,246.17193603515625,53.13932418823242
2023-09-05,188.73422241210938,222.57000732421875,529.2577514648438,315.0716857910156,58.81885528564453,243.42359924316406,52.71176528930664
